kind,day,position_id,symbol,side,open_time,close_time,volume,closed_volume,avg_entry,avg_exit,closed_pnl,commission,swap,deal_count,magic_values,comments,tickets
BOT,2026-06-24,19556280,XAUUSD,SELL,2026-06-24 15:08:19,2026-06-24 15:25:04,0.01,0.01,4037.28,4020.61,16.67,0.0,0.0,2,88001,GOLD_PRO_TP1 | [tp 4023.22],"17311620,17311801"
BOT,2026-06-24,19556281,XAUUSD,SELL,2026-06-24 15:08:19,2026-06-24 15:25:58,0.01,0.01,4037.22,4010.05,27.17,0.0,0.0,2,88001,GOLD_PRO_TP2 | [tp 4011.39],"17311621,17311935"
BOT,2026-06-24,19556282,XAUUSD,SELL,2026-06-24 15:08:20,2026-06-24 15:56:32,0.01,0.01,4037.22,3998.54,38.68,0.0,0.0,2,88001,GOLD_PRO_TP3 | [tp 3999.55],"17311622,17312345"
BOT,2026-06-24,19556473,XAUUSD,SELL,2026-06-24 15:25:06,2026-06-24 15:25:59,0.02,0.02,4016.15,4008.77,14.76,0.0,0.0,2,88001,GOLD_PRO_TP1 | [tp 4009.60],"17311819,17311938"
BOT,2026-06-24,19556475,XAUUSD,SELL,2026-06-24 15:25:06,2026-06-24 15:49:49,0.01,0.01,4018.43,4003.61,14.82,0.0,0.0,2,88001,GOLD_PRO_TP2 | [tp 4003.58],"17311821,17312230"
BOT,2026-06-24,19556477,XAUUSD,SELL,2026-06-24 15:25:06,2026-06-24 15:56:37,0.01,0.01,4018.21,3997.19,21.02,0.0,0.0,2,88001,GOLD_PRO_TP3 | [tp 3997.56],"17311823,17312351"
BOT,2026-06-24,19556480,XAUUSD,SELL,2026-06-24 15:25:07,2026-06-24 15:49:41,0.01,0.01,4017.85,4005.88,11.97,0.0,0.0,2,88001,GOLD_PRO_TP1 | [tp 4006.03],"17311826,17312227"
BOT,2026-06-24,19556483,XAUUSD,SELL,2026-06-24 15:25:07,2026-06-24 15:56:37,0.01,0.01,4018.09,3997.19,20.9,0.0,0.0,2,88001,GOLD_PRO_TP2 | [tp 3997.15],"17311829,17312352"
BOT,2026-06-24,19556487,XAUUSD,SELL,2026-06-24 15:25:07,2026-06-24 15:59:58,0.01,0.01,4018.77,3988.3,30.47,0.0,0.0,2,88001,GOLD_PRO_TP3 | [tp 3988.28],"17311833,17312434"
BOT,2026-06-24,19556490,XAUUSD,SELL,2026-06-24 15:25:08,2026-06-24 15:51:47,0.01,0.01,4019.12,4001.19,17.93,0.0,0.0,2,88001,GOLD_PRO_TP1 | [tp 4000.75],"17311836,17312263"
BOT,2026-06-24,19556508,XAUUSD,SELL,2026-06-24 15:25:08,2026-06-24 16:00:11,0.01,0.01,4017.63,3987.31,30.32,0.0,0.0,2,88001,GOLD_PRO_TP2 | [tp 3987.66],"17311854,17312452"
