position_id,strategy,symbol,side,first_time,last_time,volume_in,volume_out,avg_entry,avg_exit,pnl,commission,swap,magics,comments
1347019367,GOLD_PRO_TP3,USDJPYm,SELL,2026-06-08 14:57:52,2026-06-08 17:21:37,0.01,0.01,159.958,160.181,-1.39,0.0,0.0,88001,GOLD_PRO_PARTIAL / GOLD_PRO_TP3
1348964626,GOLD_PRO_TP1,XAUUSDm,SELL,2026-06-08 19:54:31,2026-06-09 18:31:53,0.01,0.01,4339.4,4266.72,72.68,0.0,0.0,88001,GOLD_PRO_TP1 / [tp 4266.72000]
1348964629,GOLD_PRO_TP2,XAUUSDm,SELL,2026-06-08 19:54:31,2026-06-10 03:32:34,0.01,0.01,4339.4,4208.58,130.82,0.0,0.0,88001,GOLD_PRO_TP2 / [tp 4208.58000]
1348964638,GOLD_PRO_TP3,XAUUSDm,SELL,2026-06-08 19:54:31,2026-06-10 05:37:49,0.01,0.01,4339.4,4183.631,155.77,0.0,0.0,"0,88001",GOLD_PRO_TP3
1352558815,GOLD_PRO_TP1,BTCUSDm,SELL,2026-06-09 15:45:18,2026-06-09 17:16:11,0.01,0.01,62450.09,61901.52,5.48,0.0,0.0,88001,GOLD_PRO_TP1 / [tp 61901.52000]
1352558827,GOLD_PRO_TP2,BTCUSDm,SELL,2026-06-09 15:45:18,2026-06-09 17:35:29,0.01,0.01,62450.09,61453.5,9.96,0.0,0.0,88001,GOLD_PRO_TP2 / [tp 61453.50000]
1352558837,GOLD_PRO_TP3,BTCUSDm,SELL,2026-06-09 15:45:18,2026-06-09 18:57:15,0.01,0.01,62450.09,61005.48,14.45,0.0,0.0,88001,GOLD_PRO_TP3 / [tp 61005.48000]
1352558791,GOLD_PRO_TP2,USDJPYm,SELL,2026-06-09 15:45:20,2026-06-10 00:28:33,0.01,0.01,160.176,160.464,-1.8,0.0,0.0,88001,GOLD_PRO_TP2 / [sl 160.46400]
1352558800,GOLD_PRO_TP3,USDJPYm,SELL,2026-06-09 15:45:20,2026-06-10 00:28:33,0.01,0.01,160.176,160.464,-1.8,0.0,0.0,88001,GOLD_PRO_TP3 / [sl 160.46400]
1352556320,GOLD_PRO_TP1,EURUSDm,BUY,2026-06-09 15:45:48,2026-06-09 18:35:19,0.01,0.01,1.15731,1.15523,-2.08,0.0,0.0,88001,GOLD_PRO_TP1 / [sl 1.15523]
1352556321,GOLD_PRO_TP2,EURUSDm,BUY,2026-06-09 15:45:48,2026-06-09 18:35:19,0.01,0.01,1.15731,1.15523,-2.08,0.0,0.0,88001,GOLD_PRO_TP2 / [sl 1.15523]
1352556323,GOLD_PRO_TP3,EURUSDm,BUY,2026-06-09 15:45:48,2026-06-09 18:35:19,0.01,0.01,1.15731,1.15523,-2.08,0.0,0.0,88001,GOLD_PRO_TP3 / [sl 1.15523]
